level,cn,en,hint
1,苹果,apple,a__le
1,香蕉,banana,b_n_n_
1,猫,cat,c_t
1,狗,dog,d_g
1,书,book,b__k
1,桌子,desk,d__k
1,钢笔,pen,p_n
1,汽车,car,c_r
1,房子,house,h__se
1,学校,school,sch__l
2,工程师,engineer,en_in__r
2,图书馆,library,l_br_ry
2,美丽的,beautiful,be_ut_f_l
2,不同的,different,d_ff_r_nt
2,重要的,important,imp_rt_nt
2,困难的,difficult,d_ff_c_lt
2,有趣的,interesting,int_r_st_ng
2,普通的,ordinary,or_in_ry
2,著名的,famous,f_m__s
2,危险的,dangerous,d_ng_r_us
3,大气层,atmosphere,at_osph_re
3,生物多样性,biodiversity,b_o_ivers_ty
3,文明,civilization,c_v_l_z_t_on
3,民主,democracy,dem_cr_cy
3,环境,environment,en_ir_nm_nt
3,地理,geography,ge_gr_phy
3,假设,hypothesis,hyp_th_s_s
3,识别,identify,id_nt_fy
3,知识,knowledge,kn_wl_dge
3,文学,literature,l_t_r_t_re
